,query,label,label_id
0,Заголовок статьи,Нерелевантный запрос,2
1,Подписание контракта после отказа от заключения со стороны заказчика,Вопросы по базе знаний,0
2,Участие в котировочной сессии,Вопросы по базе знаний,0
3,Страница контракта организации,Вопросы по базе знаний,0
4,Определение победителя и заключение контракта с победителем закупки с неизвестным объемом,Вопросы по базе знаний,0
5,Создание и публикация закупки с неизвестным объемом (по цене за единицу продукции),Вопросы по базе знаний,0
6,Настройка MS Word перед работой,Вопросы по базе знаний,0
7,Новая версия опубликованного шаблона,Вопросы по базе знаний,0
8,Утверждение заявки на регистрацию новой организации,Вопросы по базе знаний,0
9,Разблокировка пользователя,Техническая поддержка,1
10,Уведомления о наступающих сроках исполнения этапа,Вопросы по базе знаний,0
11,Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?,Вопросы по базе знаний,0
12,При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»,Техническая поддержка,1
13,Уведомление «Есть ограничения»,Техническая поддержка,1
14,Где можно найти виджеты Портала поставщиков?,Вопросы по базе знаний,0
15,Как присоединиться к тематической странице/группе в социальной сети о Портале поставщиков?,Вопросы по базе знаний,0
16,Перевод страницы Портала поставщиков на иностранный язык,Вопросы по базе знаний,0
17,"Как добавить характеристики, если их нет в выпадающем списке",Вопросы по базе знаний,0
18,Отображение оферты,Вопросы по базе знаний,0
19,Удаление оферты,Вопросы по базе знаний,0
20,"Статус оферты ""Ввод сведений""",Вопросы по базе знаний,0
21,Архивирование оферты,Вопросы по базе знаний,0
22,"Ошибка сохранения СТЕ ""Не заполнены обязательные характеристики: ...""",Техническая поддержка,1
23,Как изменить единицу измерения в оферте,Вопросы по базе знаний,0
24,"При создании оферты ошибка ""СТЕ находится в архиве""",Техническая поддержка,1
25,Внесение изменений в оферту,Вопросы по базе знаний,0
26,Как выбрать категорию продукции?,Вопросы по базе знаний,0
27,Как найти заявку СТЕ?,Вопросы по базе знаний,0
28,Отображение оферт по результатам Котировочной сессии в открытом доступе,Вопросы по базе знаний,0
29,Типы характеристик и как их заполнять?,Вопросы по базе знаний,0
30,"Заявка в статусе ""Черновик"", сколько ждать рассмотрения заявки?",Вопросы по базе знаний,0
31,Как на Портале поставщиков пользователю ознакомиться с карточкой поставщика/ карточкой заказчика своей организации?,Вопросы по базе знаний,0
32,Как на Портале поставщиков ознакомиться с информацией по регионам?,Вопросы по базе знаний,0
33,"Оферта в статусе ""Ввод сведений"" после заявки на СТЕ",Вопросы по базе знаний,0
34,"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет",Техническая поддержка,1
35,Действия после отправки заявки на добавление СТЕ,Вопросы по базе знаний,0
36,При каких условиях в оферте возможна прямая закупка?,Вопросы по базе знаний,0
37,Как определяется срок действия оферты?,Вопросы по базе знаний,0
38,Единица измерения СТЕ,Вопросы по базе знаний,0
39,В каком формате загружать прайс-листы?,Вопросы по базе знаний,0
40,Ошибка загрузки файла YML,Техническая поддержка,1
41,Как указать срок доставки в файле YML?,Вопросы по базе знаний,0
42,"""Ошибка формата"" при загрузке прайс-листа",Техническая поддержка,1
43,Требования к изображению в прайс-листе,Вопросы по базе знаний,0
44,"Что такое ""Количественные характеристики""?",Вопросы по базе знаний,0
45,"Что такое ""Качественные характеристики""?",Вопросы по базе знаний,0
46,"Как указать единицу измерения, если её нет в списке?",Вопросы по базе знаний,0
47,Как массово загрузить оферты?,Вопросы по базе знаний,0
48,Способы создания оферт и СТЕ,Вопросы по базе знаний,0
49,"Заявка СТЕ утверждена, оферта отсутствует в ""Управление офертами""",Техническая поддержка,1
50,"Ошибка ""Некорректное наименование файла""",Техническая поддержка,1
51,Нет нужной категории продукции на Портале Поставщиков,Техническая поддержка,1
52,Как поменять КПГЗ в стандартной товарной единице (СТЕ)?,Вопросы по базе знаний,0
53,Как изменить/продлить срок действия оферты?,Вопросы по базе знаний,0
54,Какие полномочия должны быть присвоены пользователю для подачи заявки на изменение данных компании на Портале поставщиков?,Вопросы по базе знаний,0
55,В оферте отображается КПГЗ отличный от СТЕ,Техническая поддержка,1
56,"Не получается редактировать оферту, созданную по результатам котировочной сессии",Техническая поддержка,1
57,"Отсутствует кнопка ""Опубликовать предложение""",Техническая поддержка,1
58,В оферте отсутствует ОКПД2,Техническая поддержка,1
59,Как поменять ОКПД2 в оферте?,Вопросы по базе знаний,0
60,Как скопировать оферту?,Вопросы по базе знаний,0
61,"Нет кнопки ""Прикрепить файл"" в оферте",Техническая поддержка,1
62,Сколько характеристик нужно для СТЕ?,Вопросы по базе знаний,0
63,"Что такое ""Артикул"" в оферте?",Вопросы по базе знаний,0
64,Что такое шаблон СТЕ?,Вопросы по базе знаний,0
65,"Не можем создать оферту, нет кнопки",Техническая поддержка,1
66,Заявка на регистрацию компании/ изменение данных компании находится в статусе «Черновик»,Вопросы по базе знаний,0
67,Заявка на регистрацию компании/ изменение данных компании находится в статусе «Требуется уточнение»,Вопросы по базе знаний,0
68,Заявка на регистрацию регионального заказчика на Портале поставщиков рассматривается более суток,Техническая поддержка,1
69,Единицы измерения при формировании оферты,Вопросы по базе знаний,0
70,"Несколько услуг по одной оферте, комплексная оферта",Вопросы по базе знаний,0
71,"При создании СТЕ отсутствует поле ""Описание""",Техническая поддержка,1
72,"При создании СТЕ в поле ""Регион поставки"" не отображается нужный город/населенный пункт",Техническая поддержка,1
73,"Заявка в статусе ""Редактирование"", сколько ждать рассмотрения заявки",Вопросы по базе знаний,0
74,Как изменить ФЗ (закон-основание) в оферте?,Вопросы по базе знаний,0
75,Где взять артикул,Вопросы по базе знаний,0
76,"Заказчик не видит оферту, созданную по результатам котировочной сессии",Техническая поддержка,1
77,Ошибка при подписании оферты (Ошибка инициализации объекта хэша),Техническая поддержка,1
78,Ошибка при подписания оферты (ошибка вычисления подписи),Техническая поддержка,1
79,"Как указать НДС, если мы работаем без НДС",Вопросы по базе знаний,0
80,Сколько оферт можно подписать за один раз,Вопросы по базе знаний,0
81,Возможно ли массовое подписание оферт на Портале Поставщиков?,Вопросы по базе знаний,0
82,Как вернуть оферту из архива?,Вопросы по базе знаний,0
83,"СТЕ подтверждена, а у оферты номер не появился",Техническая поддержка,1
84,Какое полномочие должно быть присвоено пользователю для работы на Портале поставщиков в качестве Уполномоченного органа ?,Вопросы по базе знаний,0
85,Как пользователю присвоить полномочие «Региональный администратор» для работы на Портале поставщиков в качестве Уполномоченного органа?,Вопросы по базе знаний,0
86,Как присвоить полномочия пользователю компании в профиле Уполномоченного органа?,Вопросы по базе знаний,0
87,Как ознакомиться со статистикой региона профиле Уполномоченного органа?,Вопросы по базе знаний,0
88,Как утвердить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
89,Как отклонить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
90,При отправке заявки на регистрацию компании в роли заказчика на Портале поставщиков возникает ошибка: «ИНН компании на регистрацию не совпадает с ИНН из ЭЦП»,Техническая поддержка,1
91,Как создать карточку новой компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
92,Как создать карточку нового пользователя на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
93,Как заблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
94,Как разблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
95,Как посмотреть историю блокировок компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
96,Как заблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
97,Как разблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
98,Как посмотреть историю блокировок пользователя компании на Портале поставщиков в профиле Уполномоченного органа?,Вопросы по базе знаний,0
99,Кто является Уполномоченным органом по нашему региону?,Вопросы по базе знаний,0
100,Кто рассматривает заявки на регистрацию региональных заказчиков на Портале поставщиков?,Вопросы по базе знаний,0
101,Как объединить профили организации?,Вопросы по базе знаний,0
102,Какие существуют требования к поставляем товарам/работам/услугам?,Вопросы по базе знаний,0
103,Как перенести пользователя из одного профиля в другой?,Вопросы по базе знаний,0
104,"Контракт подписан, но в региональной системе его не видно",Техническая поддержка,1
105,Ошибка загрузки файла YML,Техническая поддержка,1
