"Query","Label"
"Заголовок статьи","Нерелевантный запрос"
"Подписание контракта после отказа от заключения со стороны заказчика","Вопросы по базе знаний"
"Участие в котировочной сессии","Вопросы по базе знаний"
"Страница контракта организации","Вопросы по базе знаний"
"Определение победителя и заключение контракта с победителем закупки с неизвестным объемом","Вопросы по базе знаний"
"Создание и публикация закупки с неизвестным объемом (по цене за единицу продукции)","Вопросы по базе знаний"
"Настройка MS Word перед работой","Вопросы по базе знаний"
"Новая версия опубликованного шаблона","Вопросы по базе знаний"
"Утверждение заявки на регистрацию новой организации","Вопросы по базе знаний"
"Разблокировка пользователя","Техническая поддержка"
"Уведомления о наступающих сроках исполнения этапа","Вопросы по базе знаний"
"Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?","Вопросы по базе знаний"
"При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»","Техническая поддержка"
"Уведомление «Есть ограничения»","Техническая поддержка"
"Где можно найти виджеты Портала поставщиков?","Вопросы по базе знаний"
"Как присоединиться к тематической странице/группе в социальной сети о Портале поставщиков?","Вопросы по базе знаний"
"Перевод страницы Портала поставщиков на иностранный язык","Вопросы по базе знаний"
"Как добавить характеристики, если их нет в выпадающем списке","Вопросы по базе знаний"
"Отображение оферты","Вопросы по базе знаний"
"Удаление оферты","Вопросы по базе знаний"
"Статус оферты ""Ввод сведений""","Вопросы по базе знаний"
"Архивирование оферты","Вопросы по базе знаний"
"Ошибка сохранения СТЕ ""Не заполнены обязательные характеристики: ...""","Техническая поддержка"
"Как изменить единицу измерения в оферте","Вопросы по базе знаний"
"При создании оферты ошибка ""СТЕ находится в архиве""","Техническая поддержка"
"Внесение изменений в оферту","Вопросы по базе знаний"
"Как выбрать категорию продукции?","Вопросы по базе знаний"
"Как найти заявку СТЕ?","Вопросы по базе знаний"
"Отображение оферт по результатам Котировочной сессии в открытом доступе","Вопросы по базе знаний"
"Типы характеристик и как их заполнять?","Вопросы по базе знаний"
"Заявка в статусе ""Черновик"", сколько ждать рассмотрения заявки?","Вопросы по базе знаний"
"Как на Портале поставщиков пользователю ознакомиться с карточкой поставщика/ карточкой заказчика своей организации?","Вопросы по базе знаний"
"Как на Портале поставщиков ознакомиться с информацией по регионам?","Вопросы по базе знаний"
"Оферта в статусе ""Ввод сведений"" после заявки на СТЕ","Вопросы по базе знаний"
"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет","Техническая поддержка"
"Действия после отправки заявки на добавление СТЕ","Вопросы по базе знаний"
"При каких условиях в оферте возможна прямая закупка?","Вопросы по базе знаний"
"Как определяется срок действия оферты?","Вопросы по базе знаний"
"Единица измерения СТЕ","Вопросы по базе знаний"
"В каком формате загружать прайс-листы?","Вопросы по базе знаний"
"Ошибка загрузки файла YML","Техническая поддержка"
"Как указать срок доставки в файле YML?","Вопросы по базе знаний"
"""Ошибка формата"" при загрузке прайс-листа","Техническая поддержка"
"Требования к изображению в прайс-листе","Вопросы по базе знаний"
"Что такое ""Количественные характеристики""?","Вопросы по базе знаний"
"Что такое ""Качественные характеристики""?","Вопросы по базе знаний"
"Как указать единицу измерения, если её нет в списке?","Вопросы по базе знаний"
"Как массово загрузить оферты?","Вопросы по базе знаний"
"Способы создания оферт и СТЕ","Вопросы по базе знаний"
"Заявка СТЕ утверждена, оферта отсутствует в ""Управление офертами""","Техническая поддержка"
"Ошибка ""Некорректное наименование файла""","Техническая поддержка"
"Нет нужной категории продукции на Портале Поставщиков","Техническая поддержка"
"Как поменять КПГЗ в стандартной товарной единице (СТЕ)?","Вопросы по базе знаний"
"Как изменить/продлить срок действия оферты?","Вопросы по базе знаний"
"Какие полномочия должны быть присвоены пользователю для подачи заявки на изменение данных компании на Портале поставщиков?","Вопросы по базе знаний"
"В оферте отображается КПГЗ отличный от СТЕ","Техническая поддержка"
"Не получается редактировать оферту, созданную по результатам котировочной сессии","Техническая поддержка"
